fish_id,name_english,name_latin,origin,phmin,phmax,temperature_min,temperature_max,cm_max,tank_size_liter,image_url,swim
903,Ghost Shrimp,Palaemon paludosus,North America,7.0,8.0,18.0,29.0,4.0,20.0,,1
904,Bee Shrimp,Caridina cantonensis,"Taiwan, Southern China",5.5,7.5,19.0,26.0,3.0,20.0,,1
905,Tiger Shrimp,Caridina mariae,Taiwan,6.0,7.5,18.0,23.0,4.0,25.0,,1
906,Vampire Shrimp,Atya gabonensis,West Africa,6.5,7.5,24.0,28.0,13.0,75.0,,1
907,Riceland prawn,Macrobrachium lanchesteri,Southeast Asia,6.5,8.0,24.0,30.0,9.0,60.0,,1
908,Sulawesi Shrimp,Caridina dennerli,Sulawesi,7.5,8.5,26.0,31.0,2.5,20.0,,1
909,Rili Shrimp,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,3.8,20.0,,1
910,Blue Velvet Shrimp,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,4.0,20.0,,1
911,Yellow Neocaridina,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,4.0,20.0,,1
912,Orange Neocaridina,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,4.0,20.0,,1
913,Crystal Red Shrimp,Caridina cantonensis,"Taiwan, Southern China",5.5,7.5,19.0,26.0,4.0,30.0,,1
914,Bladder Snail,Physella acuta,Europe,6.5,8.0,14.0,30.0,1.5,20.0,,1
915,Zebra Nerite,Vittina natalensis,Africa,6.5,8.0,19.0,29.0,2.5,20.0,,1
916,Assassin Snail,Anentome helena,"Malaysia, Thailand, Indonesia",6.5,8.0,22.0,27.0,2.5,20.0,,1
917,Mystery Snail,Pomacea diffusa,South America,6.5,8.0,21.0,26.0,5.0,20.0,,1
918,Giant Colombian Ramshorn,Marisa cornuarietis,"Central America, South America",6.5,8.0,23.0,27.0,5.0,20.0,,1
919,Great Ramshorn,Planorbarius corneus,"Europe, Middle East",6.5,8.0,18.0,25.0,4.0,20.0,,1
920,Seminole Ramshorn,Planorbella duryi,Florida,6.5,8.0,20.0,28.0,2.5,20.0,,1
921,Black Devil Snail,Faunus ater,Southeast Asia,6.5,7.5,22.0,30.0,10.0,50.0,,1
922,Japanese Trapdoor Snail,Cipangopaludina malleat,Japan,6.5,8.0,18.0,25.0,5.0,30.0,,1
923,Malaysian Trumpet Snail,Melanoides tuberculata,Southeast Asia,6.5,8.0,21.0,25.0,3.0,20.0,,1
924,Pagoda Snail,Brotia pagoluda,"Thailand, Laos, Cambodia",6.8,8.0,22.0,28.0,6.0,20.0,,1
925,Great  Pond Snail,Lymnaea stagnalis,Europe,6.5,8.0,18.0,24.0,6.0,20.0,,1
926,White Spotted Rabbit Snail,Tylomelania towutica,Sulawesi,7.0,8.5,24.0,29.0,11.0,60.0,,1
927,Triangle Rabbit Snail,Tylomelania sinabartfeldi,Sulawesi,7.0,8.5,24.0,30.0,5.0,20.0,,1
929,Green Jade Shrimp,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,4.0,20.0,,1
930,Wandering Snail,Ampullaceana balthica,Europe,6.5,8.0,10.0,29.0,7.0,40.0,,1
931,Marbled Limpet Nerite,Septaria porcellana,Southeast Asia,6.5,8.0,23.0,28.0,3.0,20.0,,1
932,White Wizard Snail,Filopaludina martensi,Southeast Asia,6.5,8.0,22.0,26.0,5.0,40.0,,1
933,Gold Rabbit Snail,Tylomelania gemmifera,Sulawesi,7.0,8.5,24.0,28.0,7.0,60.0,,1
934,Himalayan Rabbit Snail,Tylomelania marwotoae,Sulawesi,7.0,8.5,25.0,30.0,5.0,40.0,,1
935,Dusky Nerite Snail,Neritina pulligera,"Southeast Asia, Northern Australia",6.5,8.0,22.0,28.0,4.0,20.0,,1
936,Apple Snail ,Pomacea canaliculata,South America,6.5,8.0,18.0,27.0,15.0,80.0,,1
937,Thai Micro Crab,Limnopilos Naiyanetri,Thailand,6.5,7.5,22.0,28.0,2.5,20.0,,1
938,Pom Pom Crab,Ptychognathus Barbatus,"Southeast Asia, South Asia",6.5,7.5,22.0,28.0,4.0,20.0,,1
939,Tanganyika Crab,Platythelphusa Sp.,Africa,7.0,8.5,24.0,28.0,10.0,60.0,,1
940,Panther Crab,Parathelphusa Pantherina,Sulawesi,7.5,8.5,24.0,30.0,11.0,85.0,,1
941,Matano Crab,Syntripsa Matannensis,Sulawesi,7.3,8.5,24.0,30.0,11.0,85.0,,1
942,test,,,,,,,,,,1
